iter	RMSE
0	0.8529634712
1	0.8233652284
2	0.7936572352
3	0.765995775
4	0.7391740109
5	0.7143495623
6	0.690676698
7	0.6696629856
8	0.6489005722
9	0.6290324088
10	0.610207875
11	0.5924497467
12	0.5762644462
13	0.5602789446
14	0.5450813943
15	0.5310463322
16	0.5179547447
17	0.5051924833
18	0.4930223771
19	0.4818168616
20	0.4721400925
21	0.4620893295
22	0.4523415553
23	0.4435896019
24	0.4353597733
25	0.4272999039
26	0.4202543959
27	0.4138810551
28	0.4072367742
29	0.401208762
30	0.3954124718
31	0.3902646656
32	0.3848461323
33	0.3796853539
34	0.3750743732
35	0.3705746562
36	0.3664251012
37	0.3627146459
38	0.3591771857
39	0.3555396878
40	0.3521958266
41	0.3492594029
42	0.3462742794
43	0.3435465744
44	0.3410315527
45	0.3387406904
46	0.3362043338
47	0.333866937
48	0.3317237084
49	0.3297865947
50	0.3280903378
51	0.3262432513
52	0.3245879534
53	0.3231627384
54	0.3215733849
55	0.3201938086
56	0.3188433667
57	0.317473934
58	0.3162023939
59	0.3147839326
60	0.3138230696
61	0.3126671521
62	0.3116455316
63	0.3105765848
64	0.3095514709
65	0.3083730126
66	0.3075386322
67	0.3067160087
68	0.3058095205
69	0.3049362368
70	0.304104298
71	0.3033837004
72	0.3026157446
73	0.3019623798
74	0.3012815521
75	0.300620092
76	0.2999732869
77	0.299273607
78	0.2988009019
79	0.2982268583
80	0.2975396195
81	0.29694642
82	0.2964806448
83	0.2959471106
84	0.2953130018
85	0.2947633339
86	0.2942591883
87	0.2937776907
88	0.29340592
89	0.2928707631
90	0.2924418003
91	0.2916916333
92	0.291258493
93	0.2909070315
94	0.2905680392
95	0.2902616605
96	0.2899406566
97	0.2895425227
98	0.2892175695
99	0.2889120824
100	0.2887000948
101	0.2883634499
102	0.2879490866
103	0.2875888403
104	0.2873375809
105	0.2869928511
106	0.2866749988
107	0.2864471657
108	0.2860686759
109	0.2857332913
110	0.2850084666
111	0.2847597949
112	0.2846373333
113	0.2842696759
114	0.2838860097
115	0.2837347057
116	0.2834662844
117	0.2832633084
118	0.2830603792
119	0.2827404346
120	0.2826514594
121	0.2824624776
122	0.2820963124
123	0.2820032116
124	0.2818294501
125	0.2816467195
126	0.2814125005
127	0.281224974
128	0.2810261739
129	0.280766095
130	0.2806038282
131	0.2803662829
132	0.2800821124
133	0.2797757184
134	0.2796596918
135	0.2794871027
136	0.2792926745
137	0.2791931254
138	0.2790640741
139	0.2788287871
140	0.2785355867
141	0.2783480542
142	0.2780098016
143	0.2776127706
144	0.2773691315
145	0.2772598485
146	0.2770988264
147	0.2769307236
148	0.2767684552
149	0.276578635
150	0.2764012521
151	0.2761338066
152	0.2759167607
153	0.2758966461
154	0.2756734491
155	0.2755378714
156	0.2753402683
157	0.2752186542
158	0.2751298449
159	0.2750100983
160	0.2746312292
161	0.2743874785
162	0.2741271731
163	0.2736680179
164	0.2734031016
165	0.2731495282
166	0.2730708767
167	0.2729114821
168	0.2726456736
169	0.2725799598
170	0.2725557438
171	0.2722474675
172	0.2721002748
173	0.2714992157
174	0.2712329888
175	0.2709709438
176	0.2708476961
177	0.2707725301
178	0.2706377982
179	0.2705438347
180	0.270399547
181	0.2700900152
182	0.2698562217
183	0.269499709
184	0.2692972357
185	0.2690160092
186	0.2689465217
187	0.2687702042
188	0.2684901461
189	0.2682902162
190	0.2681688448
191	0.26792301
192	0.267867904
193	0.2676513489
194	0.267340354
195	0.2672107627
196	0.2670288144
197	0.2669032358
198	0.266538236
199	0.2663101342
200	0.2661523134
201	0.2659844115
202	0.2658506266
203	0.2656131842
204	0.2654175113
205	0.2651637544
206	0.2650194031
207	0.2649554617
208	0.2646381613
209	0.2645505413
210	0.2643776318
211	0.2641620723
212	0.26387116
213	0.2635957188
214	0.2632801606
215	0.2632205235
216	0.2631171467
217	0.2630470405
218	0.2629308344
219	0.2626349072
220	0.2623587556
221	0.2620242983
222	0.261793352
223	0.2616547137
224	0.2614151761
225	0.2611867716
226	0.2610042783
227	0.260870596
228	0.2605983093
229	0.2604220373
230	0.2601586813
231	0.259866263
232	0.2596850867
233	0.2594526674
234	0.2591212134
235	0.2588735002
236	0.2587988822
237	0.2586409517
238	0.2585752109
239	0.2584817695
240	0.2583243371
241	0.2581689836
242	0.2580072889
243	0.2578241998
244	0.257711193
245	0.257571263
246	0.2573968047
247	0.2570457712
248	0.2569663429
249	0.2566875709
250	0.2563778728
251	0.2561990095
252	0.2560795489
253	0.255846078
254	0.2554408091
255	0.2552883708
256	0.2549540898
257	0.2547739843
258	0.2545714034
259	0.2543181724
260	0.2540964912
261	0.2538337951
262	0.2535641964
263	0.2533074346
264	0.2531399664
265	0.2529848365
266	0.2528479585
267	0.252525884
268	0.2523546595
269	0.2520666877
270	0.2517501203
271	0.2515613479
272	0.2514621751
273	0.2512792166
274	0.2512215767
275	0.2509723147
276	0.2507733083
277	0.2504901048
278	0.2503496498
279	0.2502961864
280	0.2500112027
281	0.249797232
282	0.2496305774
283	0.2494898606
284	0.2493674099
285	0.2491346852
286	0.2490681354
287	0.2489416086
288	0.2487528919
289	0.2484539125
290	0.24819922
291	0.2481565193
292	0.2479857795
293	0.2479369042
294	0.247829931
295	0.2476591312
296	0.2475306449
297	0.2474787922
298	0.247354029
299	0.2472057692
300	0.2471416578
301	0.2468574193
302	0.2468225485
303	0.2466425145
304	0.2465034663
305	0.2463562767
306	0.2461685867
307	0.2460326466
308	0.2459694838
309	0.2456906622
310	0.2454625685
311	0.2452339747
312	0.2450211968
313	0.2449057358
314	0.2446979165
315	0.2445556294
316	0.244532573
317	0.2444083425
318	0.2442373918
319	0.2441356854
320	0.2438527003
321	0.2435861504
322	0.2434472816
323	0.2434253414
324	0.2432579902
325	0.243219098
326	0.24300879
327	0.2429128968
328	0.2427257158
329	0.2424014544
330	0.2423598172
331	0.2422230369
332	0.2420891979
333	0.2418181543
334	0.2417877643
335	0.2416030989
336	0.2413732515
337	0.2413062663
338	0.2411460808
339	0.2410240805
340	0.2408821746
341	0.2406885192
342	0.2405106792
343	0.2403562747
344	0.2402170927
345	0.2401937925
346	0.2401615895
347	0.2400374874
348	0.2399179366
349	0.2397829086
350	0.2396134589
351	0.2394861429
352	0.2392697751
353	0.2390345813
354	0.2389259025
355	0.2387982169
356	0.2385423312
357	0.2383694824
358	0.2381515676
359	0.2379857561
360	0.2379563993
361	0.237673429
362	0.2374886756
363	0.237378956
364	0.2372081008
365	0.2371637685
366	0.2370213681
367	0.2368657962
368	0.2366756443
369	0.2364826881
370	0.2364429761
371	0.2363456549
372	0.2362515515
373	0.236128154
374	0.2359367914
375	0.2356980274
376	0.2356125251
377	0.235444824
378	0.235318441
379	0.2352127372
380	0.235131443
381	0.2350993867
382	0.2347930072
383	0.2346175167
384	0.2345296518
385	0.2344830413
