iter	Passed	Remaining
0	145	57874
1	152	30389
2	158	20990
3	165	16348
4	171	13539
5	176	11569
6	182	10238
7	188	9227
8	195	8481
9	201	7866
10	208	7367
11	216	7006
12	224	6694
13	234	6456
14	244	6268
15	252	6060
16	264	5956
17	275	5843
18	283	5685
19	294	5599
20	304	5497
21	314	5399
22	324	5323
23	333	5222
24	342	5137
25	351	5051
26	359	4960
27	368	4902
28	377	4826
29	388	4794
30	400	4764
31	409	4703
32	421	4688
33	434	4674
34	442	4610
35	451	4560
36	458	4495
37	481	4585
38	490	4538
39	499	4494
40	514	4506
41	523	4461
42	532	4422
43	540	4376
44	547	4318
45	553	4262
46	563	4229
47	569	4174
48	577	4135
49	583	4083
50	592	4053
51	598	4004
52	605	3961
53	611	3919
54	618	3881
55	627	3852
56	638	3842
57	645	3807
58	654	3784
59	668	3790
60	684	3804
61	702	3827
62	722	3866
63	739	3882
64	755	3895
65	768	3890
66	781	3881
67	789	3853
68	800	3838
69	832	3924
70	842	3902
71	851	3880
72	864	3870
73	879	3876
74	897	3890
75	915	3901
76	929	3900
77	944	3898
78	956	3888
79	972	3891
80	985	3881
81	995	3861
82	1008	3851
83	1022	3846
84	1033	3830
85	1046	3820
86	1057	3805
87	1069	3792
88	1080	3776
89	1093	3765
90	1108	3765
91	1121	3755
92	1138	3759
93	1150	3746
94	1159	3723
95	1188	3764
96	1200	3748
97	1209	3727
98	1220	3710
99	1230	3692
100	1239	3668
101	1250	3652
102	1263	3642
103	1273	3625
104	1283	3606
105	1297	3598
106	1311	3592
107	1325	3582
108	1338	3574
109	1350	3559
110	1361	3545
111	1375	3536
112	1462	3714
113	1480	3713
114	1496	3708
115	1522	3728
116	1536	3716
117	1555	3718
118	1570	3707
119	1582	3691
120	1593	3674
121	1603	3654
122	1617	3643
123	1625	3618
124	1639	3606
125	1651	3591
126	1664	3577
127	1674	3557
128	1685	3540
129	1718	3568
130	1732	3557
131	1745	3544
132	1752	3518
133	1763	3501
134	1774	3482
135	1783	3462
136	1797	3451
137	1811	3439
138	1819	3416
139	1828	3396
140	1843	3386
141	1862	3383
142	1879	3377
143	1903	3383
144	1922	3380
145	1940	3375
146	1951	3358
147	1960	3337
148	1971	3321
149	1981	3302
150	1990	3282
151	1999	3262
152	2008	3241
153	2014	3217
154	2023	3198
155	2032	3179
156	2041	3160
157	2050	3141
158	2060	3123
159	2070	3105
160	2081	3089
161	2094	3076
162	2104	3060
163	2114	3042
164	2125	3026
165	2134	3008
166	2143	2990
167	2153	2974
168	2163	2957
169	2172	2939
170	2180	2920
171	2190	2903
172	2199	2886
173	2209	2869
174	2219	2853
175	2228	2836
176	2237	2818
177	2245	2801
178	2254	2784
179	2264	2767
180	2273	2750
181	2283	2735
182	2366	2805
183	2381	2795
184	2397	2786
185	2412	2776
186	2426	2764
187	2443	2755
188	2453	2738
189	2465	2724
190	2475	2708
191	2488	2695
192	2499	2680
193	2528	2684
194	2542	2672
195	2554	2658
196	2563	2641
197	2572	2624
198	2582	2608
199	2591	2591
200	2599	2573
201	2608	2557
202	2617	2540
203	2626	2523
204	2635	2506
205	2646	2491
206	2659	2479
207	2674	2468
208	2686	2454
209	2696	2439
210	2705	2423
211	2717	2409
212	2731	2398
213	2745	2386
214	2762	2376
215	2777	2366
216	2792	2355
217	2810	2346
218	2828	2337
219	2843	2326
220	2858	2315
221	2875	2305
222	2897	2299
223	2914	2290
224	2934	2282
225	2949	2271
226	2965	2260
227	2984	2251
228	3001	2241
229	3058	2260
230	3113	2278
231	3127	2264
232	3139	2250
233	3149	2234
234	3161	2219
235	3172	2204
236	3188	2192
237	3199	2177
238	3209	2161
239	3221	2147
240	3234	2134
241	3248	2120
242	3263	2108
243	3276	2094
244	3286	2079
245	3298	2064
246	3315	2053
247	3331	2041
248	3428	2079
249	3471	2082
250	3505	2080
251	3525	2070
252	3538	2055
253	3550	2040
254	3561	2025
255	3571	2008
256	3584	1994
257	3602	1982
258	3613	1966
259	3631	1955
260	3649	1943
261	3663	1929
262	3674	1914
263	3683	1897
264	3701	1885
265	3710	1869
266	3719	1852
267	3730	1837
268	3741	1821
269	3751	1806
270	3762	1790
271	3773	1775
272	3784	1760
273	3794	1745
274	3807	1730
275	3821	1716
276	3834	1702
277	3845	1687
278	3855	1672
279	3864	1656
280	3874	1640
281	3888	1627
282	3909	1616
283	3918	1600
284	3926	1584
285	3941	1570
286	3951	1555
287	3960	1540
288	3972	1525
289	3982	1510
290	3991	1495
291	4000	1479
292	4009	1464
293	4018	1448
294	4027	1433
295	4036	1418
296	4045	1402
297	4053	1387
298	4063	1372
299	4072	1357
300	4081	1342
301	4093	1328
302	4109	1315
303	4121	1301
304	4132	1287
305	4143	1272
306	4162	1260
307	4179	1248
308	4197	1236
309	4215	1223
310	4231	1210
311	4243	1196
312	4261	1184
313	4291	1175
314	4305	1161
315	4342	1154
316	4358	1141
317	4373	1127
318	4390	1114
319	4404	1101
320	4420	1087
321	4437	1074
322	4460	1063
323	4471	1048
324	4481	1034
325	4490	1019
326	4499	1004
327	4515	991
328	4524	976
329	4533	961
330	4546	947
331	4560	934
332	4569	919
333	4580	905
334	4595	891
335	4615	879
336	4629	865
337	4640	851
338	4650	836
339	4660	822
340	4673	808
341	4683	794
342	4695	780
343	4705	765
344	4713	751
345	4722	737
346	4730	722
347	4739	708
348	4753	694
349	4766	680
350	4781	667
351	4791	653
352	4804	639
353	4814	625
354	4823	611
355	4836	597
356	4848	583
357	4856	569
358	4864	555
359	4877	541
360	4888	528
361	4897	514
362	4924	501
363	4934	488
364	4943	474
365	4954	460
366	4971	447
367	4981	433
368	4991	419
369	5002	405
370	5011	391
371	5020	377
372	5032	364
373	5039	350
374	5057	337
375	5071	323
376	5085	310
377	5097	296
378	5110	283
379	5118	269
380	5131	255
381	5143	242
382	5151	228
383	5164	215
384	5175	201
385	5184	188
386	5194	174
387	5207	161
388	5229	147
389	5241	134
390	5249	120
391	5257	107
392	5271	93
393	5283	80
394	5291	66
395	5302	53
396	5310	40
397	5319	26
398	5331	13
399	5340	0
