Name,Location,Price,Year,Kilometers_Driven,Fuel_Type,Transmission,Owner_Type,Mileage,Engine,Power,Seats,New_Price,Mileage_final,Engine_cc,Power_bhp,New_Price_thousand,State,KRW,KRW_state_year,Age,Owner_Rank,log_Price,data_split
Maruti Wagon R LXI CNG,Mumbai,2682.68,2010,72000,CNG,Manual,First,26.6 kmpl,998 CC,58.16 bhp,5.0,,26.6,998.0,58.16,,Maharashtra,2736.81,2736.81,10,1,7.894571573837986,labeled_for_modeling
Hyundai Creta 1.6 CRDi SX Option,Pune,19162.0,2015,41000,Diesel,Manual,First,19.67 kmpl,1582 CC,126.2 bhp,5.0,,19.67,1582.0,126.2,,Maharashtra,2202.22,2202.22,5,1,9.860684430210819,labeled_for_modeling
Honda Jazz V,Chennai,6898.32,2011,46000,Petrol,Manual,First,18.2 kmpl,1199 CC,88.7 bhp,5.0,8.61 Lakh,18.2,1199.0,88.7,861.0,Tamil Nadu,1396.68,1396.68,9,1,8.839033182678838,labeled_for_modeling
Maruti Ertiga VDI,Chennai,9197.76,2012,87000,Diesel,Manual,First,20.77 kmpl,1248 CC,88.76 bhp,7.0,,20.77,1248.0,88.76,,Tamil Nadu,1580.1,1580.1,8,1,9.126715255130618,labeled_for_modeling
Audi A4 New 2.0 TDI Multitronic,Coimbatore,27194.71,2013,40670,Diesel,Automatic,Second,15.2 kmpl,1968 CC,140.8 bhp,5.0,,15.2,1968.0,140.8,,Tamil Nadu,1754.4,1754.4,7,2,10.210777748075254,labeled_for_modeling
Hyundai EON LPG Era Plus Option,Hyderabad,3602.46,2012,75000,LPG,Manual,First,21.1 kmpl,814 CC,55.2 bhp,5.0,,21.1,814.0,55.2,,Telangana,1515.1,1515.1,8,1,8.189372224411617,labeled_for_modeling
Nissan Micra Diesel XV,Jaipur,5365.36,2013,86999,Diesel,Manual,First,23.08 kmpl,1461 CC,63.1 bhp,5.0,,23.08,1461.0,63.1,,Rajasthan,1042.2,1042.2,7,1,8.587718754397931,labeled_for_modeling
Toyota Innova Crysta 2.8 GX AT 8S,Mumbai,26826.8,2016,36000,Diesel,Automatic,First,11.36 kmpl,2755 CC,171.5 bhp,8.0,21 Lakh,11.36,2755.0,171.5,2100.0,Maharashtra,2455.89,2455.89,4,1,10.197156666832031,labeled_for_modeling
Volkswagen Vento Diesel Comfortline,Pune,7971.39,2013,64430,Diesel,Manual,First,20.54 kmpl,1598 CC,103.6 bhp,5.0,,20.54,1598.0,103.6,,Maharashtra,1878.92,1878.92,7,1,8.983614160592705,labeled_for_modeling
Tata Indica Vista Quadrajet LS,Chennai,2989.27,2012,65932,Diesel,Manual,Second,22.3 kmpl,1248 CC,74 bhp,5.0,,22.3,1248.0,74.0,,Tamil Nadu,1580.1,1580.1,8,2,8.002784489418772,labeled_for_modeling
Maruti Ciaz Zeta,Kochi,15252.95,2018,25692,Petrol,Manual,First,21.56 kmpl,1462 CC,103.25 bhp,5.0,10.65 Lakh,21.56,1462.0,103.25,1065.0,Kerala,3081.56,3081.56,2,1,9.632528205950896,labeled_for_modeling
Honda City 1.5 V AT Sunroof,Kolkata,6882.99,2012,60000,Petrol,Automatic,First,16.8 kmpl,1497 CC,116.3 bhp,5.0,,16.8,1497.0,116.3,,West Bengal,872.92,872.92,8,1,8.83680842954245,labeled_for_modeling
Maruti Swift VDI BSIV,Jaipur,8584.58,2015,64424,Diesel,Manual,First,25.2 kmpl,1248 CC,74 bhp,5.0,,25.2,1248.0,74.0,,Rajasthan,1251.39,1251.39,5,1,9.057722849595518,labeled_for_modeling
Land Rover Range Rover 2.2L Pure,Delhi,41389.92,2014,72000,Diesel,Automatic,First,12.7 kmpl,2179 CC,187.7 bhp,5.0,,12.7,2179.0,187.7,,Delhi,3708.14,3708.14,6,1,10.630792651906892,labeled_for_modeling
Land Rover Freelander 2 TD4 SE,Pune,26826.8,2012,85000,Diesel,Automatic,Second,0.0 kmpl,2179 CC,115 bhp,5.0,,18.2,2179.0,115.0,,Maharashtra,1681.38,1681.38,8,2,10.197156666832031,labeled_for_modeling
Mitsubishi Pajero Sport 4X4,Delhi,22994.4,2014,110000,Diesel,Manual,First,13.5 kmpl,2477 CC,175.56 bhp,7.0,32.01 Lakh,13.5,2477.0,175.56,3201.0,Delhi,3708.14,3708.14,6,1,10.043005987004774,labeled_for_modeling
Honda Amaze S i-Dtech,Kochi,8277.98,2016,58950,Diesel,Manual,First,25.8 kmpl,1498 CC,98.6 bhp,5.0,,25.8,1498.0,98.6,,Kerala,2493.69,2493.69,4,1,9.021354256263237,labeled_for_modeling
Maruti Swift DDiS VDI,Jaipur,9182.43,2017,25000,Diesel,Manual,First,28.4 kmpl,1248 CC,74 bhp,5.0,,28.4,1248.0,74.0,,Rajasthan,1480.47,1480.47,3,1,9.125047154468469,labeled_for_modeling
Renault Duster 85PS Diesel RxL Plus,Kochi,9718.97,2014,77469,Diesel,Manual,First,20.45 kmpl,1461 CC,83.8 bhp,5.0,,20.45,1461.0,83.8,,Kerala,2033.06,2033.06,6,1,9.181834924761388,labeled_for_modeling
